question,answer
Test,test
추가테스트,123123
재입고 예정이 있나요??,"안녕하세요 고객님 니뜰리히입니다. 현재 구매 가능한 수량 정도만 재고 추가하였습니다. 아직 재입고는 미정인 제품이라, 해당 수량이 마지막이 될 것 같습니다. 감사합니다."
언제출발? 테스트,123123
"대표님 안녕하세요 
아마존크립토 (crypto-amazon) MD 김민수 입니다

저희 아마존크립토에서 위탁판매자를 모집하고 있습니다. 

아마존물류창고에 있는 제품중 위탁판매가 가능한 제품 
약 7만여개가 저희 아마존크립토 플랫폼에 등록되어 있습니다.

이 제품중 대표님께서 판매하고 싶은 제품을 
저희 플랫폼내 대표님 전용스토어에 등록하시면 되고,
썸네일+상세페이지를 클릭한번으로 등록할수 있습니다. 

주고객층이 미국 85% + 국내 15% 이며 
대표님께서 판매에만 집중 할 수 있도록 
배송관리 및 CS도 본사에서 진행해드립니다. 

2월 15일까지 신규 가입자에 한해서 
200$ 상당의시크릿 AI리타겟팅 광고쿠폰도 
제공해드리고 있으며 

초기 가입비 및 사용료 0원이지만 
현재 타 플랫폼 대비 매출이 매우 좋은편입니다. 

또한 모든 입,출금에 대한 계산서 발행이 가능하며
전담 MD를 배정해드리고 있습니다.

정산주기또한 배송완료후 최대 14일로 
빠른편이며, 판매자 등급애 따라  
배송후 바로 정산(빠른정산) 도가능합니다. 

가입 및 문의는 
MD 김민수 전용 카톡 
010-7641-1751  번호추가후 카톡주세요 
(해당번호는 카카오톡 전용 번호입니다)

E-mail :  yz999@crypto-amazon.com

이중 대표님께서 편한 곳으로 연락주시면 
회사 소개서 및 이용방법 안내해드리겠습니다",.
"안녕하세요. 비밀 Q&A를 통해 안내드리게 되어 죄송합니다. 간단히 답변을 남겨주시면 되고, Q&A가 많아질수록 상품의 인기도를 높이는 데 도움이 됩니다.

회신 주시면 알림받기나 상품하트를 무료로 증정드리며, 일주일 안에 충분한 효과를 체감하실 수 있도록 적극적으로 지원하겠습니다. 또한 운영 중 궁금한 점이 있으시다면 언제든 문의 주시면 상세히 안내드리겠습니다.

저희는 신뢰도를 확보하기 위해 첫 진행 마케팅에 있어서 만약 순위 상승 효과가 없으실 경우 환불도 가능하오니, 간단한 테스트를 통해 직접 효과를 확인해 보시는 것을 추천드립니다.

최근 불법 가상 아이디를 활용해 작업을 진행하는 업체들이 많아졌습니다. 이를 구별하는 팁으로는:

광고를 실제로 누가 참여하고 있는지, 본인도 직접 참여할 수 있는지 확인해보시고,
참여 페이지나 어플이 해당 실행사가 직접 운영하는지 체크하시는 것을 권장드립니다.
아시다시피 판매를 활성화하려면 구매전환율과 유입량을 늘리는 것이 핵심입니다.
구매전환율을 높이려면 방문자에게 신뢰를 주어야 하고, 유입량을 늘리기 위해서는 다음과 같은 세 가지 방법이 중요합니다:

쇼핑 플랫폼에서의 검색 순위를 상위권으로 노출시키기,
바이럴 마케팅 활용,
SNS 마케팅 활용.
이 외에도 공구, 핫딜 등 별도의 비용이 들지 않는 다양한 이벤트를 고려하는 것도 추천드립니다.

https://open.kakao.com/o/s7bxvWVg
지금 바로 문의 주시면 저희가 운영 중인 어플 및 플랫폼을 안내드리며, 판매 활성화를 위한 최적화된 지원을 약속드립니다.",.
방금 주문하엿는데 내일 보내주시는거죠?? 이번주 받을수잇을까요?,"안녕하세요 고객님. 니뜰리히입니다. 
해당 상품 금일자로 출고 도와드리겠으며 택배사 상황에 따라 1~3일 정도 걸릴 수 있습니다. 감사합니다."
"대표님 안녕하세요 
아마존크립토 (crypto-amazon) MD 이준영 입니다

저희 아마존크립토에서 위탁판매자를 모집하고 있습니다. 

아마존물류창고에 있는 제품중 위탁판매가 가능한 제품 
약 7만여개가 저희 아마존크립토 플랫폼에 등록되어 있습니다.

이 제품중 대표님께서 판매하고 싶은 제품을 
저희 플랫폼내 대표님 전용스토어에 등록하시면 되고,
썸네일+상세페이지를 클릭한번으로 등록할수 있습니다. 

주고객층이 미국 85% + 국내 15% 이며 
대표님께서 판매에만 집중 할 수 있도록 
배송관리 및 CS도 본사에서 진행해드립니다. 

2월 15일까지 신규 가입자에 한해서 
200$ 상당의시크릿 AI리타겟팅 광고쿠폰도 
제공해드리고 있으며 

초기 가입비 및 사용료 0원이지만 
현재 타 플랫폼 대비 매출이 매우 좋은편입니다. 

또한 모든 입,출금에 대한 계산서 발행이 가능하며
전담 MD를 배정해드리고 있습니다.

정산주기또한 배송완료후 최대 14일로 
빠른편이며, 판매자 등급애 따라  
배송후 바로 정산(빠른정산) 도가능합니다. 

가입 및 문의는 
MD 이준영 전용 카톡 
010-7641-5706 번호추가후 카톡주세요 
(해당번호는 카카오톡 전용 번호입니다)

E-mail : jm994@crypto-amazon.com

이중 대표님께서 편한 곳으로 연락주시면 
회사 소개서 및 이용방법 안내해드리겠습니다",네 확인하겠습니다 감사합니다
다크그레이도 품절이면 그냥 다 취소하고 딴데서 구매할게요,"네네 고객님. 취소 처리 도와드리겠습니다. 
불편을 드려 다시 한번 죄송하다는 말씀드립니다."
다크그레이랑 베이지 구매했는데 오늘 발송되나요?,"안녕하세요 고객님. 노는 개 최고양입니다. 
먼저 상품을 주문해주셔서 정말 감사합니다. 
현제 다크 그레이 상품이 재고가 부족하여 금일 출고가 어려울 거 같습니다.  ㅠ
혹시 크림이나 베이지로 변경 의사 있으시면 톡톡으로 말씀해주시면 금일 최대한 빠른 변경 출고 도와드리겠습니다. 감사합니다."
